,date,Infected,Area
1,2019-12-30,0,Rangpur
2,2019-12-29,0,Rangpur
3,2019-12-28,1,Rangpur
4,2019-12-27,0,Rangpur
5,2019-12-26,0,Rangpur
6,2019-12-25,0,Rangpur
7,2019-12-24,0,Rangpur
8,2019-12-23,0,Rangpur
9,2019-12-22,1,Rangpur
10,2019-12-21,0,Rangpur
11,2019-12-20,0,Rangpur
12,2019-12-19,0,Rangpur
13,2019-12-18,0,Rangpur
14,2019-12-17,1,Rangpur
15,2019-12-16,0,Rangpur
16,2019-12-15,0,Rangpur
17,2019-12-14,0,Rangpur
18,2019-12-13,0,Rangpur
19,2019-12-12,0,Rangpur
20,2019-12-11,2,Rangpur
21,2019-12-10,0,Rangpur
22,2019-12-09,0,Rangpur
23,2019-12-08,1,Rangpur
24,2019-12-07,0,Rangpur
25,2019-12-06,0,Rangpur
26,2019-12-05,1,Rangpur
27,2019-12-04,0,Rangpur
28,2019-12-03,2,Rangpur
29,2019-12-02,3,Rangpur
30,2019-12-01,6,Rangpur
31,2019-11-30,1,Rangpur
32,2019-11-29,1,Rangpur
33,2019-11-28,1,Rangpur
34,2019-11-27,0,Rangpur
35,2019-11-26,1,Rangpur
36,2019-11-25,3,Rangpur
37,2019-11-24,1,Rangpur
38,2019-11-23,3,Rangpur
39,2019-11-22,0,Rangpur
40,2019-11-21,1,Rangpur
41,2019-11-20,2,Rangpur
42,2019-11-19,1,Rangpur
43,2019-11-18,3,Rangpur
44,2019-11-17,3,Rangpur
45,2019-11-16,1,Rangpur
46,2019-11-15,1,Rangpur
47,2019-11-14,2,Rangpur
48,2019-11-13,0,Rangpur
49,2019-11-12,0,Rangpur
50,2019-11-11,2,Rangpur
51,2019-11-10,2,Rangpur
52,2019-11-09,2,Rangpur
53,2019-11-08,0,Rangpur
54,2019-11-07,3,Rangpur
55,2019-11-06,4,Rangpur
56,2019-11-05,3,Rangpur
57,2019-11-04,1,Rangpur
58,2019-11-03,2,Rangpur
59,2019-11-02,1,Rangpur
60,2019-11-01,3,Rangpur
61,2019-10-31,6,Rangpur
62,2019-10-30,4,Rangpur
63,2019-10-29,3,Rangpur
64,2019-10-28,4,Rangpur
65,2019-10-27,3,Rangpur
66,2019-10-26,11,Rangpur
67,2019-10-25,2,Rangpur
68,2019-10-24,5,Rangpur
69,2019-10-23,6,Rangpur
70,2019-10-22,5,Rangpur
71,2019-10-21,5,Rangpur
72,2019-10-20,1,Rangpur
73,2019-10-19,0,Rangpur
74,2019-10-18,4,Rangpur
75,2019-10-17,6,Rangpur
76,2019-10-16,2,Rangpur
77,2019-10-15,7,Rangpur
78,2019-10-14,3,Rangpur
79,2019-10-13,2,Rangpur
80,2019-10-12,2,Rangpur
81,2019-10-11,2,Rangpur
82,2019-10-10,3,Rangpur
83,2019-10-09,8,Rangpur
84,2019-10-08,2,Rangpur
85,2019-10-07,8,Rangpur
86,2019-10-06,1,Rangpur
87,2019-10-05,2,Rangpur
88,2019-10-04,4,Rangpur
89,2019-10-03,2,Rangpur
90,2019-10-02,7,Rangpur
91,2019-10-01,7,Rangpur
92,2019-09-30,8,Rangpur
93,2019-09-29,10,Rangpur
94,2019-09-28,8,Rangpur
95,2019-09-27,4,Rangpur
96,2019-09-26,11,Rangpur
97,2019-09-25,9,Rangpur
98,2019-09-24,3,Rangpur
99,2019-09-23,8,Rangpur
100,2019-09-22,9,Rangpur
101,2019-09-21,8,Rangpur
102,2019-09-20,3,Rangpur
103,2019-09-19,16,Rangpur
104,2019-09-18,6,Rangpur
105,2019-09-17,8,Rangpur
106,2019-09-16,10,Rangpur
107,2019-09-15,10,Rangpur
108,2019-09-14,8,Rangpur
109,2019-09-13,8,Rangpur
110,2019-09-12,12,Rangpur
111,2019-09-11,12,Rangpur
112,2019-09-10,9,Rangpur
113,2019-09-09,13,Rangpur
114,2019-09-08,13,Rangpur
115,2019-09-07,11,Rangpur
116,2019-09-06,8,Rangpur
117,2019-09-05,16,Rangpur
118,2019-09-04,13,Rangpur
119,2019-09-03,21,Rangpur
120,2019-09-02,17,Rangpur
121,2019-09-01,17,Rangpur
122,2019-08-31,12,Rangpur
123,2019-08-30,11,Rangpur
124,2019-08-29,15,Rangpur
125,2019-08-28,13,Rangpur
126,2019-08-27,21,Rangpur
127,2019-08-26,20,Rangpur
128,2019-08-25,28,Rangpur
129,2019-08-24,24,Rangpur
